review,sentiment
"I love this movie. It was fantastic!",positive
"This was the worst film Iâ€™ve ever seen.",negative
"Absolutely brilliant performance by the cast.",positive
"Terrible plot and bad acting.",negative
"A masterpiece of modern cinema.",positive
"Boring and too long. I hated it.",negative
"Heartwarming and emotional. Loved every second.",positive
"It lacked depth and character development.",negative
"Excellent direction and screenplay!",positive
"Disappointing experience overall.",negative
